원두타입,원두명,노트,원산지,품종,생산자,고도,지역,가공,맛&향,산미,바디감,단맛,로스팅,쓴맛
싱글오리진,Kenya Embu AB Washed,"전체적으로 토마토맛이 강합니다. 덜 익은 토마토부터 잘 익은 토마토맛까지 추출에 따라 다양하게 느낄 수 있습니다. 또한 허브티, 라임 등 밝은 산미가 잘 올라오며 입안에서 깔끔하게 끝나는 특징이 있습니다.",케냐,"Sl 28, Sl 34, Ruiru 11, Batian",Kevote,1600,Embu,워시드,"상큼,산미,밸런스,허브,깔끔한,화사한",4.0,2.0,3.0,1.0,1.0
싱글오리진,에티오피아 코케허니 G1 내추럴,"향미 : 꽃향기, 블루베리, 블랙체리, 다크초콜릿",에티오피아,Ethiopia Heirlooms,,"1,750m ~ 2,300m",Yirgacheffe woreda Gedeo Zone,"Natural,내추럴","달콤,산미,베리,꽃,초콜릿",4.0,3.0,3.0,3.0,1.0
싱글오리진,케냐 키리나가 AA TOP,"#와인 #블랙커런트 #오렌지 #스페셜티 #무게있는 산미
High, 중약볶음",케냐,,,,키리나가,워시드,"산미,묵직,긴여운,시트러스",3.0,3.0,3.0,3.0,2.0
싱글오리진,에티오피아 예가체프 G1 코케 워시드P,"#사과 #꽃향 #오렌지 #스페셜티 #부드러운산미 #아로마
High, 중약볶음",에티오피아,,,,예가체프,워시드,"달콤,상큼,산미,꽃,허브,시트러스,트로피칼",3.0,2.0,4.0,2.0,2.0
싱글오리진,아바야 게이샤,"향미 : 꽃향기, 포도, 블루베리, 실키한 바디감",에티오피아,Ethiopia Heirlooms,Abaya,"1,700m ~ 1,900m",Yirgacheffe Gedeo Zone,Natural,"산미,꽃,화사한,주스같은",4.0,2.0,3.0,3.0,1.0
싱글오리진,나로커피220무산소체리발효,"감귤류 시트러스와 크렌베리,카카오닢스,흑설탕,로즈마리 컵노트를 
경험할 수 있는 고품질 스페셜티원두 입니다.",대한민국,"타피카,sl34",나로커피(주),,전남 고흥 나로커피아일랜드,"무산소 체리발효,무산소발효","달콤,산미,풍부한,화사한,시트러스",3.0,4.0,3.0,2.0,2.0
싱글오리진,Ethiopia Guji Gesha G1 Washed Anaerobic Special Reserve,"White Grape, Black Current, Cinnamon","Ethiopia,에티오피아",Gesha Heirloom,,"1,600-1,700m","Gelana Woreda West Guji, Oromia","Semi-Carbonic Anaerobic,기타","달콤,산미,시나몬,가벼운",4.0,3.0,3.0,2.0,1.0
싱글오리진,Ethiopia SIDAMO Mulluget Muntasha Natural,"Passion fruits, Peach, Plum, Berries","Ethiopia,에티오피아","74158, Wolisho",Mulluget Muntasha,"2,200 - 2,300","Arbegona, Sidamo, Bursa","Natural,내추럴","달콤,산미,베리,가벼운,시트러스,트로피칼",4.0,2.0,4.0,2.0,1.0
싱글오리진,케냐 야라 AB TOP,"부드러운 산미와 단맛이 좋은 커피로 케냐 특유의 강한 산미가 아닌 은은하고 산뜻한 산미의 커피입니다.
과일 차를 마시는 느낌의 꽃 향기가 좋은 매력적인 커피입니다.

*Cup Note: 자스민, 복숭아, 레몬캔디, 홍차","Kenya,케냐","SL28,SL34,Ruiri11,Batian",,"1,732m",Kiambu County,Fully Washed,"상큼,산미,꽃,차같은,화사한,가벼운,트로피칼",4.0,1.0,4.0,2.0,1.0
싱글오리진,코스타리카 볼칸 아줄 H-1 내츄럴,"배의 단 맛과 건포도의 풍미가 더해진 은은한 향의 커피입니다.
달달하면서 부드러운 목넘김이 좋은 커피입니다.

*Cup Note : 배, 갈색설탕, 건포도, 딸기",코스타리카,H-1,F.C.J Volcan Azul,"1,500m",West Valley,"Natural,내추럴","산미,밸런스,깔끔,가벼운",3.0,1.0,4.0,2.0,1.0
싱글오리진,스페셜티 과테말라 우에우에테낭고 킨 워시드,"오렌지, 마카다미아, 브라운 슈가, 밀크초콜릿",과테말라,"Bourbon, Caturra, Typica",KIN,"1,500m~1,920m",Huehuetenango,"Fully Washed,워시드","산미,밸런스,초콜릿,견과류,시트러스",4.0,4.0,4.0,3.0,2.0
싱글오리진,콜롬비아 호르헤 로하스 핑크버번 내추럴,"샴페인, 로제와인, 자두주스, 체리, 히비스커스, 적사과, 적포도",콜롬비아,핑크 버번,호르헤 로하스,1900,톨리마 라스 플라나다스,무산소 내추럴,"달콤,산미,베리,트로피칼",4.0,3.0,4.0,1.0,2.0
싱글오리진,콜롬비아 윌튼 베니테즈 파머스 셀렉션 워시드,"피칸 파이, 호두, 아몬드, 밀크초콜릿, 자몽과 오렌지의 산미, 갈색 설탕의 여운",콜롬비아,"카투라, 카스티죠",윌튼 베니테즈,1900,카우카,워시드,"달콤,산미,초콜릿,견과류,시트러스",3.0,3.0,3.0,2.0,2.0
싱글오리진,에티오피아 할로 하르투메 G1 워시드,"백도 복숭아, 자스민, 파인애플, 열대과일, 망고, 갈색설탕, 캐러멜",에티오피아,Ethiopian Local Selection,Various Farmers,"2,000m","게데오, 게뎁",워시드,"달콤,산미,꽃,화사한,트로피칼",3.0,3.0,3.0,2.0,2.0
싱글오리진,에티오피아 리무 게샤 워시드,,에티오피아,,,,,워시드,,4.0,2.0,4.0,1.0,1.0
싱글오리진,채스우드커피 디카페인 콜롬비아 싱글 원두 200g,"오렌지뉘앙스,견과류의 고소함을 디카페인으로 경험해보세요.",콜롬비아,,,,,,"달콤,고소,산미,견과류,시트러스",4.0,3.0,3.0,3.0,1.0
싱글오리진,과테말라 우에우에테낭고 와이칸 워시드 200g,"베리류의 상큼함, 부드러운 질감, 바닐라와 밀크 초콜릿의 달콤함",과테말라,,,,우에우에테낭고,워시드,"달콤,산미,부드러움,베리,초콜릿,바닐라",2.0,3.0,5.0,2.0,1.0
싱글오리진,코스타리카 게이샤 허니,Apricot / Black Tea / Brown Sugar,"Coastarica,코스타리카",Geisha,Coffea Diversa,,,Honey,"달콤,산미,꽃,허브,트로피칼",1.0,1.0,1.0,1.0,1.0
싱글오리진,콜롬비아 만델라,Grape / Black berry / Chocolate,"Clombia,콜롬비아",Mendela,,,Trujillo Valle Del Cauca,"Natural,내추럴","달콤,산미,베리,초콜릿",1.0,1.0,1.0,1.0,1.0
